name,price,currency,availability,url
"LG 55"" LED UHD TV 55UA85006LA - MAGIC REMOTE, 4K, SMART, HDR10, a7 AI PROCESSOR GEN8, WEBOS25",59995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-55-led-uhd-tv-55ua85006la-magic-remote-4k-smart-hdr10-a7-ai-processor-gen8-webos25/
Hisense S02EMS7CA51B Integrated OPS  PC (I7-12),199995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-s02ems7ca51b-integrated-ops-pc-i7-12/
Hisense HT007E Wireless Dongle,24995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-ht007e-wireless-dongle/
"Hisense WH3309-LK Trolley For 65""- 86"" Interactive Display Board",34995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-wh3309-lk-trolley-for-65-86-interactive-display-board/
Hisense 86WM6FE Interactive Board With 4K Integrated Camera,549995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-86wm6fe-interactive-board-with-4k-integrated-camera/
Hisense 75WM6FE Interactive Board With 4K Integrated Camera,394995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-75wm6fe-interactive-board-with-4k-integrated-camera/
Hisense 65WM6FE Interactive Board With 4K Integrated Camera,349995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-65wm6fe-interactive-board-with-4k-integrated-camera/
"Hisense 43"" 43A4Q FHD VIDAA Smart TV",30995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-43-43a4q-fhd-vidaa-smart-tv/
"HISENSE C2 ULTRA 65""-300"" TRIPLE LASER PROJECTOR VIDAA",349995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-c2-ultra-65-300-triple-laser-vidaa/
Hisense 116UX RGB MINI-LED UX Smart VIDAA - 4K,1999995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-116ux-rgb-mini-led-ux-smart-vidaa-4k/
Hisense  85U8Q MINI-LED ULED VIDAA Smart 4K TV,299995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-85u8q-mini-led-uled-vidaa-smart-4k-tv/
Hisense  75U7Q PRO MINI-LED ULED VIDAA Smart 4K TV,189995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-75u7q-pro-mini-led-uled-vidaa-smart-4k-tv/
Hisense 85Q7Q QLED VIDAA Smart 4K TV,189995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-85q7q-qled-vidaa-smart-4k-tv/
Hisense 75Q7Q QLED VIDAA SMART 4K TV,149995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-75q7q-qled-vidaa-smart-4k-tv/
"Hisense 65"" 65A6Q UHD Smart VIDAA 4K TV",79995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-65-65a6q-uhd-smart-vidaa-4k-tv/
"Hisense 50"" 50A6Q UHD VIDAA Smart 4K TV",47995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-50-50a6q-uhd-vidaa-smart-4k-tv/
Hisense 43A6Q UHD VIDAA Smart 4K TV,38995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-43a6q-uhd-vidaa-smart-4k-tv/
Hisense  32A4Q FHD VIDAA Smart TV,20495,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-32a4q-fhd-vidaa-smart-tv/
"Samsung  50"" UA50U8000FUXKE LED UHD TV  - 4K, Smart, Digital, Tizen OS",49990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-50-ua50u8000fuxke-led-uhd-tv-4k-smart-digital-tizen-os/
"Samsung 43""  UA43F6000FUXKE  LED FHD Ready TV, Smart, Digital, Tizen OS",33990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-43-ua43f6000fuxke-led-fhd-ready-tv-smart-digital-tizen-os/
"VON VXB1205FNL TV Wall Mount (60""-120"") Fixed",5995,KES,InStock,https://hotpoint.co.ke/catalogue/von-vxb1205fnl-tv-wall-mount-60-120-fixed/
Hisense  65Q6Q QLED VIDAA Smart 4K TV,89995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-65q6q-qled-vidaa-smart-4k-tv/
Hisense 55Q6Q QLED VIDAA Smart 4K TV,64995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-55q6q-qled-vidaa-smart-4k-tv/
"Samsung  65"" UA65U8000FUXKE LED UHD TV - Crystal Processor 4K, HDR10+, Tizen OS",76990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-65-ua65u8000fuxke-led-uhd-tv-crystal-processor-4k-hdr10-tizen-os/
"Samsung 43"" UA43U8000FUXKE LED UHD TV  - 4K, Smart, Digital, Tizen OS",36990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-43-ua43u8000fuxke-led-uhd-tv-4k-smart-digital-tizen-os/
"Samsung 32” UA32H5000FUXKE LED TV HD Ready, Smart, Digital, Tizen OS",22990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-32-ua32h5000fuxke-led-tv-hd-ready-smart-digital-tizen-os/
"Hisense 75"" 75U6N  PRO MINILED ULED SMART TV - 4K",274995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-75-75u6n-pro-miniled-uled-smart-tv-4k/
"LG 50"" 50UA80006LC LED UHD 4K Smart TV HDR10 webOS25 2025",49995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-50-50ua80006lc-led-uhd-4k-smart-tv-hdr10-webos25-2025/
"Samsung 55"" UA55U8000FUXKE LED UHD TV 4K, Smart, Digital, Tizen OS",57990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-55-ua55u8000fuxke-led-uhd-tv-4k-smart-digital-tizen-os/
"Samsung  55"" QA55S85FAEXKE OLED 4K TV, NQ4 AI Gen2 Processor, Neo Quantum HDR+, AI Upscaling, Tizen OS",159990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-55-qa55s85faexke-oled-4k-tv-nq4-ai-gen2-processor-neo-quantum-hdr-ai-upscaling-tizen-os/
"LG 65"" 65UA85006LA LED UHD TV - Magic remote, 4K, Smart, HDR10, a7 AI Processor Gen8, webOS25",79995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-65-65ua85006la-led-uhd-tv-magic-remote-4k-smart-hdr10-a7-ai-processor-gen8-webos25-get-a-free-von-vxb0755tnl-tv-wall-mount/
"VON 50"" VEL50USVW UHD 4K Smart LED TV",39990,KES,InStock,https://hotpoint.co.ke/catalogue/von-50-vel50usvw-uhd-4k-smart-led-tv/
"VON 43"" VEL43FSVW FHD Smart LED TV",29995,KES,InStock,https://hotpoint.co.ke/catalogue/von-43-vel43fsvw-fhd-smart-led-tv/
"VON 40"" VEL40FSVF HD Smart LED TV",24995,KES,InStock,https://hotpoint.co.ke/catalogue/von-40-vel40fsvf-hd-smart-led-tv/
"VON 32"" VEL32HSVF HD Smart LED TV",15995,KES,InStock,https://hotpoint.co.ke/catalogue/von-32-vel32hsvf-hd-smart-led-tv/
"LG 43"" 43LM6370PVA FHD Smart TV - WebOS, HDR",33995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-43-43lm6370pva-fhd-smart-tv-webos-hdr/
"VON VXB0755TSL TV Mount (37"" -75"") Tilt and Swivel",14995,KES,InStock,https://hotpoint.co.ke/catalogue/von-vxb0755tsl-tv-mount-37-75-tilt-and-swivel/
"VON VXB0655TNL TV Mount  (32""-65"") Tilt",2695,KES,InStock,https://hotpoint.co.ke/catalogue/von-vxb0655tnl-tv-mount-32-65-tilt/
Hisense 100U7Q PRO MINI-LED ULED VIDAA Smart 4K TV,399995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-100u7q-pro-mini-led-uled-vidaa-smart-4k-tv-get-free-hisense-ax5100q-soundbar-51ch-580w/
Hisense 65U7Q MINI-LED ULED VIDAA Smart 4K TV,119995,KES,InStock,https://hotpoint.co.ke/catalogue/hisense-65u7q-mini-led-uled-vidaa-smart-4k-tv-get-free-hisense-ax3100q-soundbar-31ch-500w/
"LG 55"" OLED55B56LA OLED 4K TV - Dolby Vision, Magic remote, Smart, HDR10, a8 AI Processor Gen2, webOS25",169995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-55-oled55b56la-oled-4k-tv-dolby-vision-magic-remote-smart-hdr10-a8-ai-processor-gen2-webos25-get-free-lg-s40t-soundbar-300w/
"LG 65"" 65QNED80A6A 4K QNED TV - Magic remote, Smart, HDR10, a7 AI Processor Gen8, webOS25",105995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-65-65qned80a6a-4k-qned-tv-magic-remote-smart-hdr10-a7-ai-processor-gen8-webos25-get-free-von-vxb0755ngl-tv-wall-mount-37-80-no-gap/
Samsung 65'' QA65QN800DUXKE 8K TV - Neo-QLED,309990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-65-qa65qn800duxke-8k-tv-neo-qled/
"VON VXB1006TSL Tilt & Swivel TV Wall Mount Bracket, 50"" - 86""",9995,KES,InStock,https://hotpoint.co.ke/catalogue/von-vxb1006tsl-tilt-swivel-tv-wall-mount-bracket-50-86/
"VON VXC1006TNL Tilt TV Cart, 50"" - 98""",9995,KES,InStock,https://hotpoint.co.ke/catalogue/von-vxc1006tnl-tilt-tv-cart-50-98/
"VON VXB0506TSL TV Wall Mount Bracket, 23"" - 50""",1995,KES,InStock,https://hotpoint.co.ke/catalogue/von-vxb0506tsl-tv-wall-mount-bracket-23-50/
"Samsung UA65M80HAUXKE 65"" Mini LED 4K Smart TV - Tizen OS",119990,KES,InStock,https://hotpoint.co.ke/catalogue/samsung-ua65m80hauxke-65-mini-led-4k-smart-tv-tizen-os/
"LG 43"" NANO 4K UHD Smart TV 43NU850B6LA.AFKE, Magic Remote, webOS 26, HDR10, α7 AI Processor Gen 9",64995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-43-nano-4k-uhd-smart-tv-43nu850b6la-afke-magic-remote-webos-26-hdr10-α7-ai-processor-gen-9/
"LG 50"" NANO 4K UHD Smart TV 50NU850B6LA.AFKE, Magic Remote, webOS 26, HDR10, α7 AI Processor Gen 9",79995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-50-nano-4k-uhd-smart-tv-50nu850b6la-afke-magic-remote-webos-26-hdr10-α7-ai-processor-gen-9/
"LG 55"" NANO 4K UHD Smart TV 55NU850B6LA.AFKE, Magic Remote, webOS 26, HDR10, α7 AI Processor Gen 9",89995,KES,InStock,https://hotpoint.co.ke/catalogue/lg-55-nano-4k-uhd-smart-tv-55nu850b6la-afke-magic-remote-webos-26-hdr10-α7-ai-processor-gen-9/
